Gene	Adj. R Squared	Slope	p-value
rno-miR-873-5p	0.072355107	0.030781187	0.202759156
rno-miR-582-5p	0.071742907	0.128187706	0.203636099
rno-miR-759	0.07117741	0.00997067	0.204449595
rno-miR-374-5p	0.066208849	-0.09718162	0.211742254
rno-miR-3559-5p	0.064072132	-0.03352793	0.214960466
rno-miR-3544	0.063948164	0.02103525	0.21514873
rno-miR-3551-3p	0.063752064	0.01538345	0.215446882
rno-miR-205	0.063646477	-0.0274921	0.215607595
rno-miR-19b-3p	0.061786788	0.070285074	0.218458717
rno-miR-340-5p	0.060704062	-0.742951685	0.220136702
rno-miR-1949	0.058715219	0.047205056	0.223254094
rno-miR-133b-3p	0.052333675	0.016881635	0.233573285
rno-miR-202-5p	0.051671538	0.025562007	0.23467243
rno-miR-871-5p	0.049247104	0.035995279	0.238744044
rno-miR-337-3p	0.048144728	-0.176883481	0.240620173
rno-miR-421-5p	0.048043088	0.082899262	0.240793943
rno-miR-7b	0.048005825	1.065015384	0.240857684
rno-miR-181a-5p	0.047617811	6.090706387	0.241522479
rno-miR-484	0.046565365	0.019891181	0.243335554
rno-miR-31a-5p	0.046231228	0.021822007	0.243914221
rno-miR-350	0.045909844	0.041718524	0.244472192
rno-miR-760-3p	0.045284184	0.022053471	0.245562359
rno-miR-409a-5p	0.044810485	-0.197139633	0.246391214
rno-miR-329-3p	0.044239638	-1.78204889	0.24739405
rno-miR-20a-5p	0.042082408	0.550476306	0.251223616
rno-miR-134-5p	0.041983471	0.283459223	0.251400777
rno-miR-101a-3p	0.040245789	-0.045935879	0.254534488
rno-miR-183-5p	0.039967654	0.014064718	0.255039989
rno-miR-300-5p	0.039032226	-0.084118112	0.256748106
rno-miR-29c-3p	0.036965503	6.951513446	0.26056629
rno-miR-199a-5p	0.036731834	0.029940085	0.261001865
rno-miR-181b-5p	0.034717818	0.049266957	0.264789314
rno-miR-653-5p	0.032616851	0.051527096	0.268804665
rno-miR-376b-3p	0.028051955	-2.282343574	0.277762979
rno-miR-150-5p	0.025654222	-2.918475329	0.282601101
rno-miR-598-3p	0.02320219	0.089667095	0.287646755
rno-miR-196c-5p	0.021833037	0.031228376	0.290508265
rno-miR-182	0.019399697	0.012960194	0.295673916
rno-miR-503-5p	0.017895281	0.014494182	0.2989199
rno-miR-27a-3p	0.01765454	0.556895156	0.299443103
rno-miR-30b-3p	0.017646461	-0.010731616	0.29946068
rno-miR-448-3p	0.016920377	-0.048341325	0.301045158
rno-miR-148b-5p	0.016788723	0.017246821	0.301333485
rno-miR-3573-3p	0.016333823	0.035783243	0.302332178
rno-miR-18a-5p	0.015991845	-0.015543698	0.303085467
rno-miR-24-3p	0.01495657	-0.105012741	0.305379117
rno-miR-293-5p	0.014891962	0.014710791	0.305522918
rno-miR-3578	0.014269227	0.047189856	0.306912987
rno-miR-702-3p	0.014037627	0.212461158	0.307431829
rno-miR-3566	0.01261896	0.014344938	0.310632267
rno-miR-30e-5p	0.010716663	-0.103595668	0.314984746
rno-miR-741-3p	0.009248675	0.02447027	0.318392273
rno-miR-3065-3p	0.009001194	-0.009165508	0.31897098
rno-miR-375-3p	0.008521425	0.082219927	0.320096394
rno-miR-411-5p	0.008210436	-0.563290463	0.320828389
rno-miR-137-3p	0.008134677	-1.468600308	0.321007006
rno-miR-146a-5p	0.008037138	0.235713563	0.321237147
rno-miR-126b	0.005557017	0.029399828	0.327154963
rno-miR-380-5p	0.003120418	0.034126216	0.333095479
rno-let-7e-5p	-0.000914249	-2.202835619	0.343219396
rno-miR-433-3p	-0.002755413	1.245746036	0.347963014
rno-miR-409b	-0.004327281	0.030421207	0.352076368
rno-miR-145-5p	-0.00554436	0.37792449	0.355302414
rno-miR-147	-0.007610826	0.021656026	0.360864096
rno-miR-331-3p	-0.009288358	0.204110193	0.365458915
rno-let-7i-5p	-0.010393239	0.785691542	0.368525315
rno-miR-190b-5p	-0.011844369	0.021457487	0.372602115
rno-miR-494-3p	-0.013834588	-0.012741569	0.378286955
rno-miR-3557-3p	-0.014048472	0.015324947	0.378904454
rno-miR-384-3p	-0.014157691	-0.374319827	0.379220275
rno-miR-349	-0.016865529	0.017294347	0.387159698
rno-miR-341	-0.016930971	0.03195361	0.387354218
rno-miR-203b-3p	-0.018324855	0.018873278	0.391527734
rno-miR-152-3p	-0.018383917	0.028523284	0.391705865
rno-miR-3586-5p	-0.019527913	0.018669606	0.395177174
rno-miR-666-5p	-0.022133478	0.015506946	0.403235856
rno-miR-532-5p	-0.022693142	-0.144315899	0.404995173
rno-miR-378a-3p	-0.024623709	-0.151957712	0.411143273
rno-miR-132-3p	-0.026305525	-15.19009325	0.416602029
rno-miR-532-3p	-0.026701087	0.028638588	0.417900185
rno-miR-19a-3p	-0.028578047	0.022106305	0.424135875
rno-miR-875	-0.029071797	0.01932549	0.425797423
rno-miR-345-3p	-0.029136458	-0.017843299	0.426015683
rno-miR-343	-0.030701601	0.009921922	0.431346327
rno-miR-184	-0.031583861	0.008232656	0.434392141
rno-miR-140-5p	-0.031854756	0.123725514	0.435333382
rno-miR-130b-3p	-0.032650412	-0.706515681	0.438114563
rno-miR-298-5p	-0.033213896	0.013181824	0.440099363
rno-miR-297	-0.034180595	-0.013382536	0.443534203
rno-miR-105	-0.035230989	0.013405037	0.447309845
rno-miR-216b-3p	-0.036157135	0.014065785	0.450677187
rno-miR-135b-5p	-0.038163277	0.21770004	0.458097981
