Target	# of miRNAs leading to upregulation	# of miRNAs leading to downregulation	Total Impact
TBC1D9	2	-1	1
TBC1D9B	0	-2	-2
TBCA	0	-1	-1
TBCEL	1	-4	-3
TBCK	0	-1	-1
TBKBP1	0	-2	-2
TBL1X	2	-1	1
TBL1XR1	3	-7	-4
TBL3	0	-1	-1
TBP	0	-1	-1
TBPL1	3	-5	-2
TBR1	0	-2	-2
TBRG1	0	-2	-2
TBX15	0	-4	-4
TBX18	1	-1	0
TBX20	1	-3	-2
TBX21	0	-1	-1
TBX3	0	-2	-2
TBX4	1	-2	-1
TBX5	0	-1	-1
TC2N	0	-1	-1
TCEA2	1	-1	0
TCEAL1	0	-2	-2
TCEAL3	0	-1	-1
TCEAL5	0	-1	-1
TCEANC2	1	-1	0
TCEB1	2	-3	-1
TCEB3	0	-3	-3
TCERG1	1	-3	-2
TCERG1L	1	0	1
TCF12	1	-5	-4
TCF15	1	-2	-1
TCF20	0	-1	-1
TCF21	1	-2	-1
TCF23	1	-1	0
TCF3	0	-1	-1
TCF4	3	-12	-9
TCF7	2	0	2
TCF7L1	0	-4	-4
TCF7L2	1	-3	-2
TCHH	1	0	1
TCIRG1	0	-2	-2
TCL1A	0	-1	-1
TCN2	1	0	1
TCOF1	1	-1	0
TCP11L1	0	-1	-1
TCTA	1	-1	0
TCTE1	1	-3	-2
TCTEX1D1	0	-1	-1
TCTN3	1	0	1
TDRD15	0	-1	-1
TDRD6	0	-1	-1
TDRD7	0	-1	-1
TDRKH	1	0	1
TEAD1	2	-6	-4
TEAD3	0	-3	-3
TEC	1	-3	-2
TECPR2	1	-1	0
TECTB	0	-1	-1
TEF	1	-2	-1
TEFM	0	-1	-1
TELO2	1	0	1
TENM1	2	-5	-3
TENM2	0	-3	-3
TENM3	3	-4	-1
TENM4	2	-2	0
TEP1	1	0	1
TERF1	0	-1	-1
TERF2	0	-1	-1
TERT	0	-2	-2
TESK2	1	-3	-2
TET1	0	-2	-2
TET2	1	-7	-6
TET3	3	-8	-5
TEX101	0	-1	-1
TEX13B	1	0	1
TEX2	0	-1	-1
TEX261	0	-3	-3
TEX36	1	0	1
TFAP2B	2	-2	0
TFAP2C	0	-1	-1
TFAP2D	1	-1	0
TFB1M	0	-1	-1
TFCP2	1	0	1
TFCP2L1	0	-2	-2
TFDP1	1	-2	-1
TFDP2	1	-1	0
TFEB	0	-2	-2
TFEC	0	-1	-1
TFF3	0	-1	-1
TFG	1	-1	0
TFPI2	1	0	1
TFR2	0	-2	-2
TFRC	0	-1	-1
TG	1	0	1
TGDS	0	-1	-1
TGFA	1	0	1
TGFB1	0	-1	-1
TGFB2	3	-5	-2
TGFBR1	3	-5	-2
TGFBR2	2	-4	-2
TGFBR3	3	-6	-3
TGFBRAP1	0	-1	-1
TGIF2	1	-3	-2
TGIF2LX	1	0	1
TGM2	1	0	1
TGM4	1	0	1
TGOLN2	2	-2	0
THAP1	0	-2	-2
THAP11	1	-3	-2
THAP2	1	-2	-1
THAP5	1	-1	0
THAP8	1	0	1
THBD	1	0	1
THBS1	1	-2	-1
THBS2	0	-2	-2
THBS3	1	0	1
THEG	0	-1	-1
THEMIS	1	0	1
THNSL1	0	-2	-2
THOC1	0	-2	-2
THOC2	0	-3	-3
THPO	0	-1	-1
THRA	2	-5	-3
THRAP3	2	-2	0
THRB	0	-6	-6
THRSP	0	-2	-2
THSD4	1	-2	-1
THSD7A	1	-5	-4
THTPA	1	-2	-1
THUMPD1	0	-1	-1
THY1	1	-1	0
THYN1	1	0	1
TIA1	2	-1	1
TIAF1	2	-1	1
TIAM1	1	-4	-3
TICAM2	0	-1	-1
TIFAB	2	-2	0
TIGD2	0	-1	-1
TIGD5	0	-1	-1
TIMD4	1	-1	0
TIMM10	0	-2	-2
TIMM10B	1	0	1
TIMM13	0	-1	-1
TIMM17A	1	0	1
TIMM17B	0	-1	-1
TIMM22	1	0	1
TIMM44	1	0	1
TIMM50	0	-1	-1
TIMM8A	1	-1	0
TIMM8B	0	-3	-3
TIMM9	1	-2	-1
TIMP1	0	-1	-1
TIMP2	1	-3	-2
TIMP3	2	-4	-2
TIMP4	1	-3	-2
TIPARP	0	-2	-2
TJAP1	0	-2	-2
TJP1	0	-3	-3
TJP2	1	0	1
TLCD2	1	0	1
TLDC2	0	-1	-1
TLE1	1	0	1
TLE3	1	-1	0
TLE4	1	-3	-2
TLK1	0	-4	-4
TLK2	0	-6	-6
TLL1	0	-5	-5
TLL2	1	-1	0
TLN1	0	-2	-2
TLN2	1	-3	-2
TLR4	1	-2	-1
TLR5	0	-1	-1
TLR7	0	-1	-1
TLX1	0	-1	-1
TM2D1	1	0	1
TM4SF1	1	-2	-1
TM6SF1	0	-1	-1
TM9SF2	1	-1	0
TM9SF3	1	-2	-1
TM9SF4	1	0	1
TMBIM6	0	-1	-1
TMC1	1	0	1
TMC2	0	-1	-1
TMC5	0	-2	-2
TMC7	1	-1	0
TMC8	0	-1	-1
TMCC1	0	-5	-5
TMCC2	1	0	1
TMCC3	1	-1	0
TMCO1	1	0	1
TMCO5A	1	0	1
TMED2	0	-1	-1
TMED3	0	-1	-1
TMED4	1	-2	-1
TMED5	1	0	1
TMED7	1	-2	-1
TMED7-TICAM2	0	-1	-1
TMED8	2	-3	-1
TMED9	0	-2	-2
TMEFF1	0	-4	-4
TMEFF2	1	-4	-3
TMEM100	1	0	1
TMEM104	1	0	1
TMEM106B	2	-1	1
TMEM106C	2	0	2
TMEM107	1	0	1
TMEM108	1	-3	-2
TMEM109	0	-1	-1
TMEM110	3	-6	-3
TMEM115	1	0	1
TMEM116	0	-1	-1
TMEM120B	2	-1	1
TMEM123	1	-2	-1
TMEM125	1	0	1
TMEM127	1	-4	-3
TMEM132A	0	-1	-1
TMEM132B	1	-3	-2
TMEM132C	1	-2	-1
TMEM132D	0	-1	-1
TMEM132E	1	-2	-1
TMEM133	1	0	1
TMEM135	1	-5	-4
TMEM136	1	-2	-1
TMEM138	1	-1	0
TMEM139	0	-1	-1
TMEM144	1	0	1
TMEM150A	0	-1	-1
TMEM151A	1	-2	-1
TMEM151B	1	-4	-3
TMEM154	1	-2	-1
TMEM156	1	0	1
TMEM158	1	-2	-1
TMEM159	0	-1	-1
TMEM161B	1	-1	0
TMEM163	1	-1	0
TMEM164	1	-4	-3
TMEM167A	1	-3	-2
TMEM168	0	-2	-2
TMEM169	1	-1	0
TMEM170A	1	-2	-1
TMEM170B	1	-6	-5
TMEM173	1	0	1
TMEM178A	0	-2	-2
TMEM178B	1	-9	-8
TMEM179	1	0	1
TMEM180	0	-1	-1
TMEM182	1	-1	0
TMEM183A	0	-2	-2
TMEM184A	0	-5	-5
TMEM184B	1	-1	0
TMEM185B	0	-2	-2
TMEM189	0	-3	-3
TMEM189-UBE2V1	0	-3	-3
TMEM19	1	0	1
TMEM194A	0	-3	-3
TMEM194B	0	-2	-2
TMEM196	0	-1	-1
TMEM198	0	-1	-1
TMEM2	1	-5	-4
TMEM200A	1	0	1
TMEM200B	2	-1	1
TMEM200C	2	-3	-1
TMEM201	1	0	1
TMEM206	0	-1	-1
TMEM207	0	-1	-1
TMEM209	0	-1	-1
TMEM214	1	0	1
TMEM215	0	-3	-3
TMEM216	0	-1	-1
TMEM217	0	-1	-1
TMEM220	0	-1	-1
TMEM222	0	-1	-1
TMEM229A	0	-1	-1
TMEM229B	0	-3	-3
TMEM230	0	-1	-1
TMEM231	1	-2	-1
TMEM233	0	-1	-1
TMEM234	0	-2	-2
TMEM235	0	-1	-1
TMEM236	0	-4	-4
TMEM237	1	-1	0
TMEM239	0	-1	-1
TMEM240	0	-1	-1
TMEM241	0	-1	-1
TMEM242	1	-4	-3
TMEM243	0	-1	-1
TMEM245	2	-2	0
TMEM246	1	0	1
TMEM25	0	-2	-2
TMEM251	0	-1	-1
TMEM252	1	0	1
TMEM254	0	-1	-1
TMEM255A	0	-3	-3
TMEM256-PLSCR3	0	-2	-2
TMEM26	1	0	1
TMEM260	2	-2	0
TMEM30A	1	0	1
TMEM30B	0	-1	-1
TMEM33	2	-5	-3
TMEM38A	1	0	1
TMEM38B	0	-1	-1
TMEM39A	1	0	1
TMEM41A	1	-2	-1
TMEM41B	1	0	1
TMEM43	0	-2	-2
TMEM45B	1	0	1
TMEM47	2	-1	1
TMEM50B	2	-2	0
TMEM51	1	0	1
TMEM52	0	-1	-1
TMEM52B	0	-1	-1
TMEM54	1	0	1
TMEM55A	2	-5	-3
TMEM55B	0	-2	-2
TMEM56	2	-1	1
TMEM57	1	0	1
TMEM59	1	-1	0
TMEM63A	1	0	1
TMEM63B	0	-1	-1
TMEM63C	1	-1	0
TMEM64	1	-7	-6
TMEM65	0	-6	-6
TMEM66	1	-1	0
TMEM68	1	-2	-1
TMEM74B	0	-1	-1
TMEM79	1	0	1
TMEM86A	1	-1	0
TMEM87A	2	-2	0
TMEM87B	1	-3	-2
TMEM8A	1	-1	0
TMEM91	0	-1	-1
TMEM92	0	-1	-1
TMEM95	1	0	1
TMF1	1	-1	0
TMOD1	0	-1	-1
TMOD2	0	-3	-3
TMOD3	1	-1	0
TMPO	0	-1	-1
TMPRSS11B	1	0	1
TMPRSS11BNL	1	-1	0
TMPRSS11D	1	-1	0
TMPRSS11F	1	0	1
TMPRSS12	0	-1	-1
TMPRSS2	1	-2	-1
TMPRSS5	1	-1	0
TMPRSS6	2	0	2
TMSB10	0	-1	-1
TMTC1	1	-3	-2
TMTC2	0	-2	-2
TMTC3	2	-3	-1
TMTC4	0	-2	-2
TMUB2	2	-6	-4
TMX1	1	-2	-1
TMX3	0	-1	-1
TMX4	2	-2	0
TNC	2	-1	1
TNFAIP1	2	-2	0
TNFAIP2	1	-1	0
TNFAIP3	0	-2	-2
TNFAIP8	0	-1	-1
TNFAIP8L2	1	-2	-1
TNFAIP8L3	0	-1	-1
TNFRSF10B	1	-2	-1
TNFRSF11A	1	0	1
TNFRSF12A	0	-1	-1
TNFRSF13C	2	-1	1
TNFRSF17	1	-1	0
TNFRSF19	0	-1	-1
TNFRSF1A	0	-1	-1
TNFRSF1B	0	-2	-2
TNFRSF21	0	-2	-2
TNFRSF25	1	0	1
TNFRSF8	1	0	1
TNFSF10	1	0	1
TNFSF11	0	-4	-4
TNFSF12-TNFSF13	1	0	1
TNFSF13	1	0	1
TNFSF13B	1	-1	0
TNFSF15	1	-2	-1
TNFSF8	0	-1	-1
TNFSF9	1	0	1
TNIK	3	-6	-3
TNK2	1	0	1
TNKS	0	-3	-3
TNKS1BP1	0	-1	-1
TNKS2	2	-1	1
TNMD	0	-1	-1
TNN	0	-1	-1
TNNI1	1	0	1
TNNT2	0	-1	-1
TNPO1	0	-6	-6
TNPO2	2	0	2
TNR	1	-3	-2
TNRC18	0	-5	-5
TNRC6A	1	-3	-2
TNRC6B	4	-10	-6
TNRC6C	2	-7	-5
TNS1	2	-2	0
TNS3	0	-2	-2
TNXB	0	-1	-1
TOB1	0	-1	-1
TOB2	2	-4	-2
TOLLIP	1	0	1
TOM1	1	-2	-1
TOM1L1	1	0	1
TOM1L2	0	-3	-3
TOMM20	1	-2	-1
TOMM34	0	-1	-1
TOMM40L	2	0	2
TOMM6	0	-1	-1
TOP1	0	-2	-2
TOP2B	0	-1	-1
TOPORS	1	-2	-1
TOR1A	1	0	1
TOR1AIP1	0	-1	-1
TOR1AIP2	0	-3	-3
TOR1B	0	-2	-2
TOR2A	2	0	2
TOR3A	1	-1	0
TOX	1	-1	0
TOX2	1	0	1
TOX3	0	-2	-2
TOX4	1	-1	0
TP53	0	-2	-2
TP53AIP1	1	0	1
TP53BP2	1	-1	0
TP53INP1	2	-6	-4
TP53INP2	2	-7	-5
TP53RK	0	-1	-1
TP53TG5	0	-1	-1
TP63	0	-1	-1
TP73	2	0	2
TPBG	2	-1	1
TPBGL	0	-1	-1
TPCN1	0	-5	-5
TPCN2	1	0	1
TPD52	1	-2	-1
TPD52L2	0	-1	-1
TPD52L3	0	-2	-2
TPH1	0	-2	-2
TPH2	1	0	1
TPK1	1	-1	0
TPM1	0	-1	-1
TPM2	1	0	1
TPM3	1	-1	0
TPM4	2	0	2
TPPP	2	-6	-4
TPR	0	-1	-1
TPRA1	1	0	1
TPRG1	0	-1	-1
TPT1	0	-1	-1
TRABD	0	-2	-2
TRABD2B	0	-4	-4
TRAF1	1	0	1
TRAF3	2	-5	-3
TRAF3IP1	2	0	2
TRAF4	0	-1	-1
TRAF6	0	-1	-1
TRAF7	1	-1	0
TRAFD1	0	-1	-1
TRAK1	1	-1	0
TRAK2	1	-2	-1
TRAM2	1	-4	-3
TRANK1	0	-1	-1
TRAPPC10	0	-2	-2
TRAPPC13	1	-1	0
TRAPPC2	0	-1	-1
TRAPPC2L	1	0	1
TRAPPC3	1	-2	-1
TRAPPC3L	1	0	1
TRAPPC8	0	-1	-1
TRAPPC9	1	-1	0
TRAT1	1	0	1
TRDN	0	-1	-1
TREML2	1	0	1
TRERF1	0	-6	-6
TRHDE	3	-4	-1
TRIB1	0	-1	-1
TRIB2	2	-5	-3
TRIM13	0	-2	-2
TRIM17	1	0	1
TRIM2	2	-1	1
TRIM21	1	-1	0
TRIM22	1	0	1
TRIM23	0	-2	-2
TRIM24	1	-2	-1
TRIM25	2	-1	1
TRIM26	1	-2	-1
TRIM3	1	-3	-2
TRIM33	1	-2	-1
TRIM36	1	-2	-1
TRIM37	1	-2	-1
TRIM39	1	0	1
TRIM41	1	-1	0
TRIM44	1	-1	0
TRIM45	1	0	1
TRIM50	1	0	1
TRIM55	2	0	2
TRIM62	0	-1	-1
TRIM63	0	-1	-1
TRIM66	1	-2	-1
TRIM67	2	-4	-2
TRIM68	0	-1	-1
TRIM71	1	-3	-2
TRIM72	1	0	1
TRIM9	1	-3	-2
TRIO	0	-1	-1
TRIOBP	1	-4	-3
TRIP10	1	-2	-1
TRIP11	0	-3	-3
TRIP12	2	-2	0
TRIQK	1	0	1
TRMT10B	1	0	1
TRMT11	0	-1	-1
TRMT112	0	-1	-1
TRMT1L	2	0	2
TRMT2A	0	-1	-1
TRMT2B	2	-1	1
TRNP1	0	-1	-1
TROAP	1	-1	0
TROVE2	0	-1	-1
TRPC1	2	0	2
TRPC3	0	-2	-2
TRPC4	1	-1	0
TRPC4AP	1	0	1
TRPC5	0	-1	-1
TRPC6	0	-1	-1
TRPM3	0	-7	-7
TRPM6	0	-1	-1
TRPM7	1	-2	-1
TRPS1	1	-7	-6
TRPV1	1	0	1
TRPV2	0	-1	-1
TRPV3	1	-5	-4
TRPV5	1	-1	0
TRPV6	0	-1	-1
TRUB1	0	-2	-2
TSC1	1	-3	-2
TSC22D1	1	-1	0
TSC22D2	2	-8	-6
TSC22D3	0	-4	-4
TSEN34	0	-1	-1
TSG101	0	-1	-1
TSGA10	1	0	1
TSHR	1	-1	0
TSHZ1	0	-1	-1
TSHZ2	1	-2	-1
TSHZ3	0	-3	-3
TSKU	1	-2	-1
TSNAX	0	-1	-1
TSPAN1	1	0	1
TSPAN11	1	0	1
TSPAN12	0	-1	-1
TSPAN13	0	-1	-1
TSPAN14	3	-3	0
TSPAN15	1	0	1
TSPAN18	2	-4	-2
TSPAN2	1	-3	-2
TSPAN3	2	-2	0
TSPAN31	1	-3	-2
TSPAN33	2	-2	0
TSPAN4	0	-1	-1
TSPAN5	2	-6	-4
TSPAN6	0	-2	-2
TSPAN9	0	-3	-3
TSPEAR	0	-1	-1
TSPO2	1	0	1
TSPYL1	1	-1	0
TSPYL2	1	-2	-1
TSPYL4	2	0	2
TSPYL5	1	-1	0
TSR1	0	-1	-1
TSR2	0	-1	-1
TSSK2	0	-1	-1
TSSK6	0	-2	-2
TSTD2	1	-1	0
TTBK1	2	-1	1
TTBK2	1	-3	-2
TTC13	0	-1	-1
TTC14	0	-3	-3
TTC21B	0	-2	-2
TTC26	1	-2	-1
TTC28	0	-3	-3
TTC30A	1	0	1
TTC30B	0	-1	-1
TTC31	2	-1	1
TTC33	0	-1	-1
TTC39A	1	-1	0
TTC39B	1	-1	0
TTC39C	0	-1	-1
TTC4	1	0	1
TTC6	0	-1	-1
TTC7B	1	0	1
TTC8	1	0	1
TTC9	1	-5	-4
TTC9C	1	0	1
TTF2	2	-1	1
TTI1	0	-3	-3
TTL	0	-3	-3
TTLL12	0	-1	-1
TTLL2	1	0	1
TTLL3	1	0	1
TTLL4	0	-1	-1
TTLL7	1	-1	0
TTN	0	-1	-1
TTPA	2	-1	1
TTPAL	2	-2	0
TTYH1	0	-1	-1
TTYH2	1	-2	-1
TTYH3	2	-2	0
TUB	1	-2	-1
TUBA1A	0	-1	-1
TUBA4A	1	0	1
TUBB2A	0	-1	-1
TUBB2B	1	-1	0
TUBB6	0	-1	-1
TUBGCP6	1	0	1
TUFM	0	-1	-1
TUFT1	0	-1	-1
TULP3	0	-1	-1
TULP4	0	-4	-4
TUSC2	0	-2	-2
TUSC3	0	-1	-1
TUSC5	0	-2	-2
TVP23B	2	-1	1
TVP23C	1	0	1
TVP23C-CDRT4	1	-3	-2
TWF1	0	-4	-4
TWIST1	1	-1	0
TWISTNB	2	0	2
TWSG1	1	-2	-1
TXLNA	1	-2	-1
TXLNB	1	0	1
TXLNG	1	-4	-3
TXN2	1	-2	-1
TXNDC12	0	-1	-1
TXNDC16	0	-1	-1
TXNDC17	0	-1	-1
TXNDC9	0	-1	-1
TXNIP	0	-4	-4
TXNL1	1	0	1
TXNRD1	0	-1	-1
TXNRD2	1	0	1
TXNRD3	1	0	1
TYRO3	2	0	2
TYRP1	1	-3	-2
U2SURP	2	-4	-2
UAP1	1	-1	0
UBA2	1	-2	-1
UBA6	1	0	1
UBALD1	1	0	1
UBALD2	1	0	1
UBAP1	0	-2	-2
UBAP2	0	-1	-1
UBAP2L	0	-2	-2
UBASH3A	0	-1	-1
UBASH3B	0	-3	-3
UBB	0	-1	-1
UBC	0	-2	-2
UBD	3	0	3
UBE2A	0	-2	-2
UBE2B	1	-4	-3
UBE2D1	1	-2	-1
UBE2D2	0	-3	-3
UBE2D3	1	-2	-1
UBE2E1	1	0	1
UBE2E2	1	-2	-1
UBE2E3	2	-3	-1
UBE2F	1	-4	-3
UBE2G1	0	-5	-5
UBE2G2	0	-1	-1
UBE2H	1	-4	-3
UBE2I	0	-4	-4
UBE2J1	0	-3	-3
UBE2J2	0	-1	-1
UBE2K	0	-5	-5
UBE2L3	1	-1	0
UBE2L6	1	0	1
UBE2Q1	1	-5	-4
UBE2Q2	1	-1	0
UBE2QL1	1	-2	-1
UBE2R2	1	-1	0
UBE2T	0	-2	-2
UBE2V1	0	-3	-3
UBE2V2	0	-1	-1
UBE2W	2	-10	-8
UBE2Z	3	-2	1
UBE3A	0	-1	-1
UBE3B	0	-1	-1
UBE3C	2	-3	-1
UBE3D	0	-1	-1
UBE4A	0	-2	-2
UBE4B	1	-1	0
UBFD1	3	-3	0
UBIAD1	0	-1	-1
UBL3	2	-1	1
UBL4A	1	-1	0
UBN1	0	-3	-3
UBN2	1	-12	-11
UBP1	0	-1	-1
UBQLN2	1	-3	-2
UBQLNL	0	-1	-1
UBR1	1	-3	-2
UBR2	1	0	1
UBR3	2	-3	-1
UBR4	1	-1	0
UBR5	0	-2	-2
UBTD1	0	-1	-1
UBTD2	0	-1	-1
UBTF	1	-3	-2
UBXN10	1	-3	-2
UBXN2A	2	-1	1
UBXN4	1	-1	0
UBXN6	0	-1	-1
UBXN7	2	-7	-5
UCHL3	3	0	3
UCHL5	0	-1	-1
UCK2	4	-2	2
UCN2	1	0	1
UCP3	0	-1	-1
UEVLD	1	-3	-2
UFD1L	1	0	1
UFL1	1	0	1
UFM1	1	-1	0
UFSP2	0	-1	-1
UGCG	0	-4	-4
UGGT1	0	-1	-1
UGP2	0	-1	-1
UGT8	0	-4	-4
UHMK1	2	-5	-3
UHRF1BP1	0	-1	-1
UHRF1BP1L	0	-2	-2
UHRF2	1	-1	0
ULK1	1	-2	-1
ULK2	1	-5	-4
UMOD	0	-1	-1
UNC119B	1	-3	-2
UNC13A	2	-3	-1
UNC13B	1	-1	0
UNC13C	0	-3	-3
UNC45A	1	0	1
UNC45B	1	0	1
UNC5A	0	-2	-2
UNC5B	0	-3	-3
UNC5C	1	-1	0
UNC5CL	0	-1	-1
UNC5D	2	-5	-3
UNC79	0	-2	-2
UNC80	1	-5	-4
UNCX	0	-2	-2
UNK	1	-3	-2
UNKL	2	-4	-2
UPF1	1	-1	0
UPF2	1	-3	-2
UPF3B	1	0	1
UPK1B	1	-1	0
UPRT	0	-1	-1
UQCC1	1	-3	-2
UQCRB	0	-1	-1
URB1	1	0	1
URGCP	0	-2	-2
URI1	0	-2	-2
URM1	0	-1	-1
UROS	1	0	1
USE1	0	-1	-1
USF1	1	0	1
USF2	1	-2	-1
USH1G	1	0	1
USH2A	0	-1	-1
USO1	1	0	1
USP1	0	-2	-2
USP10	1	-1	0
USP11	1	0	1
USP12	0	-4	-4
USP13	1	-2	-1
USP14	0	-3	-3
USP15	2	-4	-2
USP19	0	-1	-1
USP2	1	-1	0
USP20	0	-1	-1
USP21	0	-1	-1
USP24	1	-4	-3
USP25	0	-1	-1
USP28	0	-1	-1
USP3	0	-3	-3
USP30	1	-3	-2
USP31	0	-6	-6
USP32	2	-5	-3
USP33	0	-2	-2
USP34	0	-2	-2
USP35	1	-1	0
USP36	1	-2	-1
USP37	0	-1	-1
USP38	1	-3	-2
USP39	0	-2	-2
USP4	0	-2	-2
USP42	0	-4	-4
USP43	1	0	1
USP44	0	-2	-2
USP45	0	-2	-2
USP46	3	-5	-2
USP47	1	-6	-5
USP48	0	-1	-1
USP49	1	-5	-4
USP51	0	-1	-1
USP53	1	-2	-1
USP6	3	-4	-1
USP6NL	1	-4	-3
USP7	0	-1	-1
USP8	1	-1	0
USP9X	1	-5	-4
USP9Y	0	-3	-3
UST	1	0	1
UTP11L	1	-1	0
UTP14C	1	-1	0
UTP15	0	-1	-1
UTP23	1	0	1
UTRN	1	-2	-1
UTS2	1	0	1
UTY	0	-1	-1
UVRAG	1	-1	0
UXS1	0	-1	-1
VAMP1	1	-2	-1
VAMP2	1	-3	-2
VAMP3	1	-1	0
VAMP4	0	-1	-1
VAMP8	1	-1	0
VANGL1	3	-4	-1
VANGL2	0	-5	-5
VAPA	0	-4	-4
VAPB	3	-5	-2
VARS	0	-1	-1
VASH1	1	-3	-2
VASH2	0	-5	-5
VASN	1	0	1
VASP	0	-1	-1
VAT1	1	-3	-2
VAT1L	1	-3	-2
VAV2	1	-1	0
VAV3	1	-2	-1
VAX1	0	-2	-2
VCAM1	1	0	1
VCAN	1	-3	-2
VCL	1	-4	-3
VCP	0	-2	-2
VCPIP1	1	-2	-1
VCPKMT	0	-1	-1
VDAC2	1	-1	0
VDR	0	-2	-2
VEGFA	0	-4	-4
VEGFC	1	-1	0
VEZF1	1	-5	-4
VEZT	0	-3	-3
VGF	1	0	1
VGLL2	1	-2	-1
VGLL3	3	-3	0
VGLL4	0	-2	-2
VIL1	1	0	1
VIM	1	-1	0
VIP	0	-1	-1
VIPAS39	1	0	1
VIPR1	2	0	2
VKORC1	1	0	1
VKORC1L1	1	0	1
VLDLR	1	-4	-3
VMA21	0	-4	-4
VMP1	1	-2	-1
VNN1	1	-1	0
VOPP1	2	-6	-4
VPRBP	0	-1	-1
VPS13A	1	0	1
VPS13B	2	-4	-2
VPS13C	0	-2	-2
VPS13D	2	-1	1
VPS18	2	0	2
VPS25	1	-1	0
VPS26A	0	-2	-2
VPS26B	1	-3	-2
VPS33A	0	-1	-1
VPS36	0	-2	-2
VPS37A	1	-4	-3
VPS37B	0	-1	-1
VPS37C	0	-3	-3
VPS37D	1	-1	0
VPS39	0	-1	-1
VPS41	1	-1	0
VPS45	0	-1	-1
VPS4A	1	-4	-3
VPS4B	0	-1	-1
VPS52	1	-1	0
VPS53	1	-2	-1
VPS54	2	0	2
VSIG10	1	0	1
VSIG10L	1	-1	0
VSIG4	1	0	1
VSIG8	0	-1	-1
VSNL1	1	-3	-2
VSTM1	1	0	1
VSTM2A	0	-1	-1
VSTM2L	0	-1	-1
VSTM4	2	0	2
VSTM5	1	-2	-1
VSX1	0	-1	-1
VSX2	1	0	1
VTA1	1	-1	0
VTCN1	1	-1	0
VTI1A	1	-4	-3
VTI1B	1	-2	-1
VWA1	2	0	2
VWA3B	0	-1	-1
VWA5B2	0	-1	-1
VWA7	0	-1	-1
VWC2	2	-6	-4
VWC2L	0	-5	-5
VWDE	1	0	1
WAC	0	-2	-2
WAPAL	0	-4	-4
WARS	1	0	1
WARS2	0	-2	-2
WASF1	0	-1	-1
WASF2	2	-4	-2
WASF3	0	-3	-3
WASL	2	-4	-2
WBP1	0	-1	-1
WBP11	1	-1	0
WBP1L	1	-4	-3
WBP2NL	1	0	1
WBP4	1	-1	0
WDFY1	2	-2	0
WDFY2	0	-2	-2
WDFY3	1	-4	-3
WDFY4	1	-5	-4
WDPCP	1	0	1
WDR13	0	-2	-2
WDR19	0	-1	-1
WDR20	0	-2	-2
WDR26	2	-3	-1
WDR3	0	-1	-1
WDR31	1	-2	-1
WDR33	1	-1	0
WDR36	1	0	1
WDR37	2	-6	-4
WDR41	0	-3	-3
WDR43	2	0	2
WDR44	0	-4	-4
WDR45	1	0	1
WDR47	1	-4	-3
WDR48	0	-2	-2
WDR49	1	0	1
WDR52	1	-1	0
WDR55	0	-1	-1
WDR6	0	-1	-1
WDR7	1	-2	-1
WDR70	1	-1	0
WDR73	1	0	1
WDR77	0	-2	-2
WDR78	1	0	1
WDR81	1	-1	0
WDR82	0	-1	-1
WDR83OS	0	-1	-1
WDR88	1	0	1
WDR89	1	0	1
WDR93	0	-1	-1
WDSUB1	0	-1	-1
WDTC1	0	-3	-3
WDYHV1	0	-1	-1
WEE1	0	-4	-4
WFDC10A	1	0	1
WFDC10B	1	0	1
WFIKKN2	0	-1	-1
WFS1	0	-1	-1
WHAMM	0	-1	-1
WHSC1	0	-1	-1
WHSC1L1	0	-1	-1
WIF1	0	-2	-2
WIPF1	0	-1	-1
WIPF2	1	-5	-4
WIPF3	1	0	1
WIPI2	1	-4	-3
WISP1	1	-6	-5
WIZ	0	-2	-2
WLS	1	-1	0
WNK1	1	-6	-5
WNK2	2	-2	0
WNK3	1	-7	-6
WNT1	0	-4	-4
WNT10B	1	-1	0
WNT11	0	-2	-2
WNT2	1	0	1
WNT2B	2	-5	-3
WNT3	1	-4	-3
WNT3A	0	-3	-3
WNT4	2	-1	1
WNT5A	0	-1	-1
WNT7A	3	-3	0
WNT7B	0	-2	-2
WNT8B	1	-1	0
WNT9A	0	-3	-3
WNT9B	1	-5	-4
WRN	1	0	1
WRNIP1	0	-1	-1
WSB1	0	-1	-1
WSB2	0	-1	-1
WSCD1	0	-1	-1
WSCD2	0	-1	-1
WT1	1	-4	-3
WTAP	2	-1	1
WTIP	0	-1	-1
WWC1	0	-2	-2
WWC2	0	-1	-1
WWOX	1	0	1
WWP1	1	-2	-1
WWP2	0	-1	-1
WWTR1	1	-3	-2
XBP1	0	-1	-1
XCR1	0	-1	-1
XIAP	1	-5	-4
XIRP1	1	-1	0
XIRP2	0	-1	-1
XK	0	-2	-2
XKR4	2	-6	-4
XKR6	1	-2	-1
XKR7	2	-5	-3
XKR8	0	-2	-2
XKRX	2	-3	-1
XPNPEP1	1	0	1
XPNPEP2	1	0	1
XPNPEP3	1	-2	-1
XPO1	3	-1	2
XPO4	2	-4	-2
XPO5	1	-1	0
XPO6	0	-2	-2
XPO7	0	-2	-2
XPOT	1	-1	0
XPR1	0	-2	-2
XRCC5	2	-2	0
XRN1	2	-3	-1
XRRA1	2	-3	-1
XXbac-BPG32J3.20	2	0	2
XXcos-LUCA11.5	1	0	1
XXYLT1	1	0	1
XYLB	1	0	1
XYLT1	3	-5	-2
YAF2	2	-5	-3
